,Location,Operator,Route,Type,Aboard,Fatalities,Ground,Year,Month,Day
,"Isfahan, Iran",Military - Iranian Air Force,Isfahan - Tehran,Lockheed 1329 Jetstar 8,12,12,0,1995,01,05
,"Off Flores Island, Inodnesia",Merpati Nusantara Airlines,Bima - Ruteng,de Havilland Canada DHC-6 Twin Otter 300,14,14,0,1995,01,10
,"Cartagena, Colombia",Intercontinental de Aviacion,Bogota - Cartagena,McDonnell Douglas DC-9-14,52,51,0,1995,01,11
,"Flagstaff, Arizona",Empire Airlines,Flagstaff - Phoenix,Cessna 208B Caravan I Super Cargomaster,1,1,0,1995,01,11
,"Masset, British Columbia, Canada",Canada Jet Charters,Vancouver - Masset,Learjet 35,5,5,0,1995,01,11
,"Pleasanton, California",West Air,Visalia - Oakland,Cessna 208B Caravan I Super Cargomaster,1,1,0,1995,01,12
,"Blyn, Washington",Air Taxi - Coastal Airways Inc.,"Sequim, WA - Seattle, WA",Cessna 172N,4,3,0,1995,01,14
,"Los Angeles, CA",Air Taxi - Wolfe Air Aviation Ltd.,"Los Angeles, CA - Burbank, CA",Bell 206B,4,2,0,1995,01,14
,"Kathmandu, Nepal",Royal Nepal Airlines,Kathmandu - Rumjatar,de Havilland Canada DHC-6 Twin Otter 300,24,2,0,1995,01,17
,"Near Krasnoyarsk, Russia",Abakan Airlines,Krasnoyarsk - Abakan,Let 410UVP,19,3,0,1995,01,20
,"Le Bourget, France",Leadair - Charter,Paris - Romania,Dassault Falcon 20E,10,10,0,1995,01,20
,"Kuei Shan Hsiang, Taiwan",Transasia Airways,,Aerospatiale ATR-72,4,4,0,1995,01,30
